,Item,Unit Ukuran,Kekerapan / Unit Ukuran,Bil. Unit Ukuran Sehari,Bil. Unit Ukuran Sebulan,Kuantiti,* Maklumbalas,Tawaran Pembekal
,2.0 Penyebut harga hendaklah melaksanakan aktiviti migrasi dalam tempoh pembangunan. Pentauliahan hanya akan dilaksanakan selepas aktiviti migrasi selesai dan disahkan.,12,,,,,,
,3.0 Penyebut harga hendaklah melaksanakan aktiviti migrasi tanpa menyebabkan sebarang gangguan atau downtime yang tidak dirancang kepada Portal sedia ada.,12,,,,,,
,4.0 Penyebut harga hendaklah melaksanakan kerja-kerja migrasi data/kandungan portal sedia ada ke Portal Rasmi JKPTG yang baharu mengikut pelan migrasi yang telah dipersetujui kerajaan.,12,,,,,,
,5.0 Penyebut harga hendaklah melaksanakan ujian pengesahan kesempurnaan migrasi yang dilaksanakan serta menyediakan laporan hasil pengujian yang dilaksanakan tersebut untuk pengesahan Kerajaan.,12,,,,,,
,"ITEM 4: PENGURUSAN SERVER PEMASANGAN APLIKASI PORTAL, PERISIAN DAN KONFIGURASI SISTEM",unit,1.0,1.0,,,,
,1.0 Penyebut harga hendaklah menjalankan aktiviti pemasangan dan konfigurasi perisian pada infra/virtual machine yang disediakan bagi persekitaran di Pusat Data JKPTG (Staging) dan PDSA Teras dan PDSA Perisai.,12,,,,,,
,"2.0 Penyebut harga hendaklah memastikan pembangunan Portal Rasmi JKPTG menggunakan teknologi pengaturcaraan PHP, Content Management System (CMS) (open source) dan pangkalan data MySQL atau MariaDB. Justeru, perisian ini hendaklah dipasang dan dikonfigurasi bersama perisian lain yang berkaitan. Semua perisian, komponen, framework dan modul yang digunakan hendaklah menggunakan versi terkini yang stabil serta disokong secara rasmi oleh pembangun bagi menjamin aspek keselamatan, prestasi dan penyelenggaraan sistem.
Sila nyatakan cadangan pangkalan data dan perisian yang digunakan.",28,,,,,,
,"3.0 Penyebut harga hendaklah menyediakan dan melaksanakan kerja-kerja instalasi dan konfigurasi server di Pusat Data JKPTG (Staging) dan PDSA Teras dan PDSA Perisai. Kerja-kerja ini termasuklah:
i. Instalasi dan Konfigurasi web server, pangkalan data dan sistem pengoperasian
ii. Instalasi dan Konfigurasi dan sync secara berkala pada production server, DRC server, dan staging server.

Penyebut harga hendaklah menyediakan instalasi tidak terhad seperti berikut:
i. Laporan Instalasi dan konfigurasi yang dilaksanakan
ii. Dokumentasi Teknikal (Dokumentasi kerja pre, semasa, dan selepas. Instalasi dan konfigurasi Aplikasi, Pangkalan Data, sistem pengoperasian

Kerja-kerja tersebut hendaklah dimasukkan ke dalam catatan Lampiran 2 - Jadual Pelaksanaan.",28,,,,,,
,"4.0 Penyebut harga hendaklah memasang dan mengkonfigurasi SSL certificate pada Portal Rasmi JKPTG yang baharu.
Sila berikan penjelasan.",28,,,,,,
,"5.0 Penyebut harga hendaklah menjalankan kerja-kerja pemasangan dan pengkonfigurasian Portal Rasmi JKPTG secara menyeluruh sebelum ia ditauliahkan untuk go-live.
Sila nyatakan cadangan pelaksanaan.",28,,,,,,
